shop_name,country,length_of_app_use,date,rating,review
Vikings Shop,Austria,8 months using the app,"April 20, 2026",5,"The support  for this app is absolutely outstanding. No matter the time of day, the team ((in this case Sam) was always available, responsive, and incredibly helpful. Every question was answered quickly and professionally, and they really went the extra mile to make sure everything worked perfectly. It’s rare to experience such reliable and dedicated support – highly recommended!"
Escape_realityedc,United States,About 4 hours using the app,"April 14, 2026",5,
Mossrose Bookshop,United States,About 3 hours using the app,"April 11, 2026",5,Super helpful in a pinch!
Coppini-Art,United Kingdom,About 8 hours using the app,"April 11, 2026",5,"Sam was fantastic, resolved my issues (hiding copy / rendering) extremely quickly and was very helpful! 10/10!"
Enchanted Planet,Canada,5 days using the app,"April 8, 2026",5,"Excellent customer service, extremely helpful and friendly. First auction is going smoothly!"
Kung Fu Corals,United States,About 2 years using the app,"April 5, 2026",5,"so far, haven't use the auctions in production yet. But customer service by 
Tansy is 2nd to none!  She was absolutely fantastic! polite and knowledgeable!   I have high hope for this app!"
FunCarBids,United States,2 months using the app,"April 1, 2026",5,Sam helped me through configuring my auctions. Great company! This review was not bought. I run a site called FunCarBids.
Real Deals CA,United States,About 2 hours using the app,"March 31, 2026",5,Tansy was incredible! Extremely helpful and was able to send me a screen recording to walk me through what I was missing on my end. Thank you!
Cycle City Outdoors,United States,About 5 hours using the app,"March 19, 2026",5,"Needed help getting it working right away do to the complexity of our store, but a few messages back and forth and its all working.   Will test the app out further and update the review if anything changes."
TRIPLETTA,Belgium,About 2 hours using the app,"March 17, 2026",5,Very helpful
eSports OMG,Hong Kong SAR,3 months using the app,"Edited May 16, 2026",1,"(Review updated May 2026)

I previously rated this app 5 stars because the customer service was responsive, and I eventually upgraded to a paid plan. Unfortunately, things changed significantly after the recent update.

Since the update, we’ve experienced multiple bugs and urgent issues. One major problem caused emails to be repeatedly sent to us and our customers every 30 minutes after auctions ended, at a point resulting in getting 20 emails every half hour.

What disappointed me most was the lack of urgent support. After explaining the severity of the issue, one response from the team was “ok strange,” and we received no meaningful follow-up, explanation, or apology for over two days till now (while this review is being written).

I understand bugs can happen after updates, but better testing and faster communication are essential, especially for paying customers. I’ve now unsubscribed and started exploring other options.

Thank you for sharing your feedback, and we sincerely apologise for the experience you had following the recent update.

As soon as the issue with repeated auction emails was reported, our team immediately began investigating it and kept you updated throughout the process. Since the issue appeared to be isolated specifically to your store, it required deeper investigation and additional time to accurately identify the root cause and implement a reliable fix. The issue was also reported over the weekend, but despite this, our team worked to prioritise it as quickly as possible.

We completely understand your frustration, especially given the impact this had on both you and your customers. While bugs can unfortunately occur after major platform updates, we take incidents like this very seriously and are continuously improving our testing and monitoring processes to minimise such situations in the future.

We truly appreciate the support you showed us previously and are sorry that this experience changed your perception of the app. If you are open to it, we would still love the opportunity to regain your trust and continue supporting your store moving forward."
Iberplace,Spain,Almost 2 years using the app,"Edited March 26, 2026",4,"Great support, but technically not yet mature enough for professional auctions.

We have been using this app for almost two years now. I tested it in the beginning, but at that time I already felt that it was not sufficiently developed and that many workflows were simply too inconvenient. I still kept the subscription active because I generally like to support good apps and developers, and I hoped that over time the app would improve significantly.

Now, after all this time, I decided to seriously give it another try. Unfortunately, I have to say that, from my perspective, very little has changed over the last two years. The support is genuinely fast, friendly, and helpful — and that deserves clear credit. Also, from the customer’s point of view, the bidding process inside the intended bidding window works well, including language adaptation. That part is done nicely.

However, from a merchant’s perspective, the app is still far too uncomfortable to work with. Many important functions are missing, some workflows are unnecessarily complicated, and for anyone who wants to run auctions seriously and on a regular basis, the system is, in my opinion, only suitable to a very limited extent. If you only want to run two or three auctions per week occasionally, it may be fine. But if you want to operate auctions professionally and at scale, you will reach the limits very quickly.

We ourselves have been running online auctions since 2002 and, for many years, have continuously handled at least 1,000 auctions per month on a large well-known auction platform. With that level of experience, it becomes very clear that there is still a lot of unused potential here.

My honest opinion is this: the support deserves 5 stars, but the technical development of the app is closer to 3. Overall, I am giving 4 stars because I want to be fair. Unfortunately, there are hardly any real alternatives in the app store, otherwise the benchmark would probably be even higher. Usable for smaller-scale use, but in its current form rather disappointing for professional sellers.

Professional sellers are not looking for the cheapest solution, but for a technically robust and convenient one — and many would gladly pay significantly more for that."
CardStage,Portugal,2 days using the app,"March 9, 2026",5,"At first, I had a problem with the widget, but I contacted the support team and Sam was very helpful and solved the problem immediately. Now I can explore the app better. Thanks again."
CollectUConn,United States,About 4 hours using the app,"March 8, 2026",5,"Fast and friendly customer service! I downloaded the app today, had some trouble setting it up and I reached out via the messaging app. The customer service rep was AWESOME! Now I'm all set to launch our auction tomorrow!"
Bloodline Fish Farm,United States,About 10 hours using the app,"March 7, 2026",5,Customer support is very good and fast
Bucked n' Rowdy,United States,About 4 hours using the app,"March 1, 2026",5,Sam was awesome and super helpful! 10/10 help!!!
Bàsquet Girona Botiga Oficial,Spain,2 days using the app,"February 26, 2026",5,"Sam was absolutely amazing to work with! He help me successfully launch auctions on my website and made the entire process smoother. His knowledge, patience was amazing. Amazing app with and amazing service!!"
Kayla DeVito Fine Art,United States,1 day using the app,"February 19, 2026",5,"Very quick response, very helpful team. Sam is excellent and professional. Love this app!"
Sv Bell Art,Canada,6 months using the app,"February 19, 2026",5,Excellent script and first class support. Everything works like a charm!
Toy Canon,United States,28 days using the app,"February 18, 2026",5,"Tansy was absolutely amazing to work with! She went above and beyond to help me successfully launch auctions on my website and made the entire process smooth and stress-free. Her knowledge, patience, and attention to detail really stood out. Any time I had a question or ran into an issue, she was quick to respond with clear solutions and guidance.

Thanks to Tansy, everything is now working perfectly and exactly how I envisioned. If you’re looking for someone reliable, knowledgeable, and truly dedicated to helping your business succeed, I highly recommend Tansy!"
Joy Seekers,United States,3 days using the app,"February 17, 2026",5,Great Job!!
HERE FOR THE ART,United States,4 days using the app,"February 17, 2026",5,Amazing and very supportive!
Rutopia,United States,About 18 hours using the app,"February 15, 2026",5,Did exactly what i wanted. support team was great as well
Follett Auction Hub,United States,About 5 hours using the app,"February 12, 2026",5,Very knowledgeable and amazing support.
OnThePullTCG,United Kingdom,40 minutes using the app,"February 12, 2026",5,Sam was very helpful went out of his way to make sure its live and working on my site
Uppboðshúsið,Iceland,About 18 hours using the app,"February 12, 2026",5,Very good app!
kitround,United Kingdom,35 minutes using the app,"February 8, 2026",5,Great support via the chat option.  I am testing out the functionality and was struggling to get the auction widget to show.  Sam very quickly jumped on my issue and resolved it immediately - thank you!
Recon One,United States,15 days using the app,"February 3, 2026",5,"Excellent customer support. Sam was quick, and helped every question I had."
Mane Street,Australia,8 months using the app,"February 2, 2026",5,Quick response from support and got me up and running! Thanks to Sam.
Bison Track,United States,About 1 hour using the app,"February 2, 2026",5,
Marcodi Musical Products,United States,About 22 hours using the app,"January 30, 2026",5,Awesome help. They did so much work for me. Sam helped me and was awesome. Definitely recommend this app
Tesoros Frogs,United States,6 days using the app,"January 29, 2026",5,"Great App, great support!"
http://www.mattiafagnonionlus.com/,Italy,About 20 hours using the app,"January 28, 2026",5,app eccellente piena di funzioni e assistenza rapida e ottima
Buy Coral Online,United States,1 day using the app,"January 23, 2026",5,Customer service is extremely fast!
Mount Washington Cruises,United States,3 months using the app,"January 22, 2026",5,
Eventyrhuset,Norway,12 days using the app,"January 18, 2026",5,
The Glove Lab,United States,5 days using the app,"January 14, 2026",5,Support was efficient and effective.  It's great to have live solutions to problems.
GATECRASH,United Kingdom,43 minutes using the app,"January 13, 2026",5,I'm just trying the app out now so i cannot comment on the app fully just yet but the customer service is the best i have had from any app. ive been dealing with SAM. just amazing service
FroGames,Italy,About 9 hours using the app,"January 10, 2026",5,"Excellent application, I had some doubts and I immediately received an efficient service"
Duky Store,United States,About 7 hours using the app,"January 2, 2026",5,No bs the customer service was crazy helpful!
Doc's Open Box,United States,About 1 year using the app,"December 27, 2025",5,Great service. They stayed with me until i had it the way i wanted it. They did most of the work for me behind the scenes.
Loja da In-Libris,Portugal,Almost 2 years using the app,"December 10, 2025",5,Acabei de instalar a app e tenho a dizer que a assistência é fantástica e eficaz. Muito bom.
Whitetop Arts,United States,11 days using the app,"December 9, 2025",5,"I just started using the Auction Today app. The customer service is unsurpassed, the best I have ever experienced, period. I am not tech savvy; the support team went above and beyond to assist me with setting up the app and my auction."
JaneAusten.co.uk,United Kingdom,About 6 hours using the app,"December 8, 2025",5,dealt with css customisation quickly
JCI Genk,Belgium,About 19 hours using the app,"December 7, 2025",5,"Easy to activate.
Amazing support, even on a Sunday."
Tnet Shop,United States,19 days using the app,"December 5, 2025",5,extremely patient and helpful with resolving my issue
Haleh Mashian,United States,2 days using the app,"November 28, 2025",5,Sam was very prompt and helped me out immediately. Solved the issue so fast too. Very accommodating and patient. Super kind and always willing to help. This is actually the second time I was helped by Sam and the first time I was frustrated and annoyed but Sam kept composure and made sure to help me out despite my obvious irritation. Thank you for everything :)
The Coral Cartel,United States,20 days using the app,"November 26, 2025",5,The application is really feature rich and pretty intuitive.  There are quite a few support articles to provide that extra little bit of help.  Their support is highly responsive.  I received a ton of help and fantastic service from one of their technicians Sam.   Great app.  Great support.
Left Coast Bonsai,United States,4 days using the app,"November 23, 2025",5,I had a concern about my auction and needed a custom configuration.  Tansy was able to help me quickly and professionally.  Thank you so much.
Tuned by Vlad,United States,About 2 hours using the app,"November 22, 2025",5,App works great and support is quick and easy
Parker Thatch,United States,39 minutes using the app,"November 21, 2025",5,"We needed to get an auction up right away. We picked this app in part because the reviews said the customer service was outstanding. We got stuck setting it up, and then we went to this customer support chat. Tansy helped us and saved the day. We were able to launch an auction in 10 minutes ahead of our YouTube live session. Very happy!"
Curiosities from the 5th Corner,United Kingdom,2 months using the app,"November 21, 2025",5,sam was very helpful in setting the auction up for me.
NEW PRESS VINYL,United States,16 days using the app,"November 21, 2025",5,Great functionality. Truly responsive and adaptive team as well!
Hadley Pottery,United States,3 days using the app,"November 20, 2025",5,great help!
"The Swedish-American Chamber of Commerce, New York",United States,6 days using the app,"November 18, 2025",5,Sam was of great help!
The Local: Wine & Beer,United States,About 1 hour using the app,"November 17, 2025",5,Awesome support!
James Voce,United Kingdom,About 19 hours using the app,"November 13, 2025",5,Amazing support. Sam sorted everything on my new install for me so quickly.
The Welsh Gift Shop,United Kingdom,About 7 hours using the app,"November 10, 2025",5,Incredible service - so fast and friendly. Sam understood the problem I had right away and was able to fix it very quickly. Then they went above and beyond and made my auction look very professional on my collection page. I'm ever so grateful - thanks again Sam!
IRMO.JP,Japan,2 days using the app,"November 5, 2025",5,"Thanks to the very attentive support, I was able to install it without any problems. The development team seems to be working on updates, so I'm looking forward to future improvements. This is a recommended auction app."
openbox.ca,Canada,4 months using the app,"Edited January 9, 2026",5,Great app to use for auction/bidding. Simple and easy to to use. Support is always available if you need them for more assistance.  Highly recommended.
Long Island Liquidation,United States,2 months using the app,"October 28, 2025",5,"Always fantastic and fast customer service. Solid auction app, simple to use."
AlpineOntario,Canada,13 days using the app,"October 21, 2025",5,"Incredible. Helped me diagnose my issues, used custom videos to explain and ensured I was up and running!"
Eternal Magic,Australia,About 7 hours using the app,"October 9, 2025",5,Awesome app. Very versatile and works great. Superb support
Matchwinner,Denmark,22 days using the app,"October 8, 2025",5,
Gabriel Pinós Gallery,Spain,About 1 hour using the app,"October 5, 2025",5,"We just testing the app and something went wrong (on our side) so we contacted support and get reply just in minutes. Hope they do it all the time like today. We will test the app and update this review after we really see how it works (at the moment easy to use (pls. consider add info boxes to explain some things). At the moment looks cool. Nice dashboard, smoths loading (some other apps has this problem). Lets see! We really hope this app is good for us. Thanks, Sam!"
MascotLink,United States,About 24 hours using the app,"October 1, 2025",5,Great help.  Fixed my issue fast and conveniently.  Thanks!
NFH SHOPPEN,Denmark,About 6 hours using the app,"September 30, 2025",5,Amazing support! And good product. :)
Porter Lyons,United States,17 days using the app,"September 29, 2025",5,Sam has been fantastic! What amazing customer support. Sam guided us through the process of our 1st auction and gave steller customer service along the way. The app is easy to use and sufficient! If I could give 10 stars I would! Thanks again!
Reseller Supply Co.,United States,About 1 hour using the app,"September 26, 2025",5,Great app! Sam especially did a TREMENDOUS job helping me get a few customizations installed and questions answered within seconds. Amazing support!
ZWAP,United States,About 9 hours using the app,"September 23, 2025",5,"I had some trouble getting the auction feature to show up on my store at first, but the support team stepped in and resolved it by making changes directly in my theme. It took a little back and forth, but once they fixed it, everything started working. I appreciate that they were willing to go into my theme and move things around to get it working properly. Overall, the app does what I need now, and I’m glad it’s running smoothly."
Notta Gallery,United States,About 3 hours using the app,"September 17, 2025",5,Sam has done an excellent job with helping to ensure that the Auction Today widget fits in with the rest of our branding as shown on our product listings. Thanks again!
HappyJackWorld,United States,About 1 hour using the app,"September 16, 2025",5,SAM WAS SUPER HELPFUL AS A FIRST TIME USER OF THE AUCTION APP. VERY PROMPT AND SMART :)
Yamine,United Kingdom,1 day using the app,"September 16, 2025",5,"Working wonderfully so far. Sam, the adviser that has been helping me with everything has been incredible - very patient and kind with me as it's my first time using an auction app on my website."
LSW Custom Shop,France,About 1 hour using the app,"September 15, 2025",5,"Ils sont très réactif et m'ont instantanément aidé régler mon problème. J'ai hâte d'essayer l'appli pour voir ce que ça donne ! Mais en tout cas, un service client au top ! 5/5"
Studio 21 Tattoo Gallery,United States,About 1 hour using the app,"September 9, 2025",5,
G.O.A.T. Paddle,United States,About 2 hours using the app,"August 30, 2025",5,Great customer service the very best app
Reeflifeaquariums.com,United States,21 days using the app,"August 28, 2025",5,They were quick to help me integrate the widget to my theme !!!
Kaiju Live,United States,About 1 hour using the app,"August 25, 2025",5,
TUCKER MERCH,United States,1 day using the app,"August 23, 2025",5,Tansy was absolutely amazing.  Super helpful and got my problem resolved quickly with very clear direction and quick response.  Highly recommend!!
All in the Wild,Canada,16 days using the app,"August 22, 2025",5,"Very good customer service, they answered all my questions. Mack was really knowledgeable and the rest of the team I spoke with as well."
beacon's closet,United States,1 day using the app,"August 18, 2025",5,"Thorough and patient customer service rep Sam made sure I understood how to resolve my issues before leaving the chat and didn't give me rote answers. Much appreciated, thank you!"
Wildboar Fishroom,Singapore,About 5 hours using the app,"August 10, 2025",5,Sam is very helpful
Black Store,Switzerland,About 2 hours using the app,"July 4, 2025",5,"When I was testing the app, I had a problem. I contacted support and they responded super quickly, solving the problem in minutes!

The app's construction for setting up auctions is intuitive and easy to understand. Very happy so far!"
Balance Demo Store,United States,37 minutes using the app,"June 26, 2025",5,
Honey Bee Mine,United States,7 days using the app,"June 11, 2025",5,Responsive and helpful. They answered my questions and everything was resolved quickly! Thank you!
Pronto Flowers,Australia,2 days using the app,"June 4, 2025",5,"Tansy was very helpful! A+ 
got our auction working very quickly"
Lynn’s Discounts,United States,About 1 month using the app,"May 31, 2025",5,"Sam and the rest of the staff are amazing when it comes to support for their app. This allows us to really use it to the maximum potential. I recommend this app to everyone!

App 9 out of 10

Support team 10 out of 10!"
Hoodbutch Studios,United States,43 minutes using the app,"May 26, 2025",5,Tansy was awesome! Thanks so much. Great help!
Tembo Collection,United States,About 1 hour using the app,"May 25, 2025",5,"Easy setup, their support was very good at helping set this up."
Gasharu Coffee,Rwanda,2 days using the app,"May 22, 2025",5,"I faced several issues while setting up the app, but I reached out to the support team and Tancy did a great job assisting me. She even resolved some problems that required coding work. Her support was extremely helpful. Thank you, Tancy and team!"
Wolfi's,United Arab Emirates,About 1 month using the app,"May 22, 2025",5,Big thanks to Tansy for her incredible support with the app customization! She’s not only amazing at what she does but also incredibly patient throughout the process. Her attention to detail and willingness to go the extra mile made everything smooth and stress-free. Truly appreciate her help!
Poke MZT,Mexico,25 days using the app,"May 12, 2025",5,"Amazing App and Sam from Customer support is great, extremely fast attention"
Haultron | Only Good Energy,South Africa,3 days using the app,"May 10, 2025",5,Great and Speedy help from Tansy during setup
"Fear Not Tarantulas, Inc.",United States,5 days using the app,"May 8, 2025",5,I am new to the app so this is actually to rate Sam for the amazing customer service he provided today helping me get it set up on our website.   The chat was excellent and he was able to help with all my concerns within minutes.
Electric Deals,Canada,About 1 hour using the app,"May 8, 2025",5,App is running well.  Customer support was easy to access and very prompt.  Would recommend
Curious Plant Killer,United States,About 3 hours using the app,"May 6, 2025",5,So far it works as intended and was easy to set up. Support was very quick to respond and answered all my questions :)
Soundgas,United Kingdom,10 months using the app,"April 29, 2025",5,"Mack was super helpful, knowledgeable and courteous when I reached out for assistance with the app today. 
He resolved my issue in no time. 
Thanks"
Sydney Roosters Foundation Shop,Australia,5 days using the app,"April 13, 2025",5,Tansy was very helpful with alll my requests. Thank you!!
Approved Textiles,United States,2 days using the app,"April 8, 2025",5,Amazing customer service!
Tech Tread,Australia,About 22 hours using the app,"April 8, 2025",5,
VINOSAS,Germany,4 months using the app,"April 7, 2025",5,This app works great and the support is A+++!! For each problem they have a solution and they will fix it very fast. I'm very happy with this app! Thank you!
AJ Sports,Canada,About 1 month using the app,"April 2, 2025",5,Helpful and Quick
Abigail Goodman Scarf Boutique,United States,11 months using the app,"Edited March 2, 2026",5,This app has completely transformed my business and the customer service is absolutely incredible. Five stars!
Hall of Fame Collection,Canada,4 days using the app,"Edited March 24, 2025",5,"Auction Today is an amazing platform! Their customer support is top-notch—quick, helpful, and super friendly. The site itself is packed with great features that make buying and selling smooth and easy. Highly recommend! Sam, Kets and Mack were all helpful"
Extratime,Portugal,5 days using the app,"March 12, 2025",5,Very easy to use and very kind Advisors. Thanks Sam!
Bunker Skate Shop,United States,About 1 hour using the app,"March 5, 2025",4,The set up for each item is strightforward. My issues was not understanding how to sync everything. Sam was extremly helpful and solved my issues within mins.
Cornbred Corals,United States,Over 1 year using the app,"February 20, 2025",5,I did a live chat with Tansy and she helped me figure out how to use the app to best suit our needs. She was very responsive and knowledgable. Thank you Tansy!
Atpimagesgallery,United States,2 months using the app,"February 16, 2025",1,"Not only the app doesn't have so many necessary options, but also it has the most awful support team through our store apps. When we asked for more options that the app must have, they called us rude. I had such a bad experience to continue paying for this app.

Thank you for your review. We appreciate you reaching out to our support team for assistance with customizing your auction, which you needed to start within 30 minutes. Despite the tight timeline, our support and tech teams did their best to accommodate your request.

We're truly sorry to hear that your experience did not meet expectations. We take your feedback seriously and will thoroughly review the situation to ensure we improve our support moving forward. Your satisfaction is important to us, and we appreciate the opportunity to learn and enhance our service."
S.I. Originals,Netherlands,About 1 hour using the app,"February 3, 2025",5,"Does what is has to do, some issues with the widget showing up, but support was quick to help and fix it."
Shirley's Wig Shoppe,United States,4 days using the app,"January 30, 2025",5,Looks like this is going to be a great app. Makes running auctions on my website so much easier than what I had been doing. I had some issues setting up the first auction but Tansy did a super job helping me get things right!
Vintage Verstas,Finland,About 2 months using the app,"January 30, 2025",5,"Great customer service! T: Mr Verstas, Finland"
Gallery1988,United States,5 days using the app,"January 21, 2025",5,This app was easy to install.  I had several questions for the developer and Sam respond immediately.  Customer service has been wonderful.  I would definitely recommend this app!  Very happy.
Western NY Sports Cards,United States,About 2 hours using the app,"January 19, 2025",5,Awesome support!
Vivo Vintage,Italy,About 4 hours using the app,"January 16, 2025",5,Nice
Ishin Altare,United Kingdom,7 months using the app,"January 16, 2025",5,"Absolutely an excellent app! We receive quick responses to all our questions, and custom developments tailored to our needs are implemented rapidly. Most importantly, it features an easy-to-use interface with a simple design and great potential for further improvement. Keep up the great work!"
Chess.com,United States,About 1 hour using the app,"January 14, 2025",5,"Sam was a great help, I had some trouble using the app and he sorted it out for me in a very quick manner!"
Gradient Photo Gallery,Malaysia,1 day using the app,"January 4, 2025",5,Good plugin for auction feature.
Dreizack,Austria,About 1 hour using the app,"December 23, 2024",5,"Sam did an incredible job helping me fixing my issue. Not only that, he even fixed problems i havent had on my list yet (for example remove the sticky add to cart for the product auction page Product). Amazing job!"
PTAG - Industrial Surplus,Canada,About 1 hour using the app,"December 19, 2024",5,Sam was incredibly helpful and was able to help me with the questions that I had! Wonderful experience
Zorro Lighters,Australia,About 2 hours using the app,"December 17, 2024",5,"Excellent Support answered all our questions and fixed all our store , Great app to use ."
HobbyBobbins,United States,4 months using the app,"December 13, 2024",4,"This app is definitely helps with running auctions via shopify. I will say that several features are still in development and I have often had to reach out to support to resolve issues such as automatic bids not working at the last minute of an auction, website formatting, and a few other issues users can't resolve on their own through the portal. Their replies are often fast, however there have been a few times they couldn't figure out what was wrong or their default settings were confusing and I ended up with some angry customers. Overall though, as long as they keep working on it I think it can be a really helpful app."
acceptusrecords.fi,Finland,5 days using the app,"December 12, 2024",5,"Excellent support, works even on weekends evening. 
Really fast and professional response."
Sweets Crafts and Fine Art,United States,1 day using the app,"December 11, 2024",5,Awesome help.  My first time doing an addiction.  Sam was so helpful and patient!
Littyville®️,United States,1 day using the app,"December 11, 2024",5,Had a great experience with customer support helping me to get the auction details to show at the product level without having to click ijnto the product.  They took the time to add code to my theme!
KOBDSGN,Spain,About 1 hour using the app,"December 9, 2024",5,good
ボルダーオパール販売専門店｜OPAL D TAKI,Japan,6 months using the app,"December 4, 2024",5,This is the app that I was looking for. The customer service quality that the support team provides is more than awesome. I can keep using this app without any worries.
CAMPA,Canada,11 days using the app,"December 1, 2024",5,I had a little trouble getting the app/widget to show up on my website but I jumped on a chat through the App with them and they were able to fix it up right away and even made some improvements for me to make it look a bit better.  A++ Service.  I hope we can make better use of their app in the future.
Plantthatplant,Sweden,About 14 hours using the app,"November 20, 2024",5,"Sam at Auction Today was incredibly helpful in getting me started with my auctions. He guided me through the setup process with clear instructions and valuable tips. His patience and dedication made everything so much easier. Thanks to Sam, I feel confident and ready to succeed. Highly recommended!"
Hoosier Art Salon Gallery,United States,3 months using the app,"Edited November 16, 2025",4,"This is my second year using Auction Today.  While it is fairly simple, there were a few hiccups with some coding.  But the customer service was on it and trying everything they could to get it corrected.  A customer made me aware of an issue late at night and the help team stayed with me to correct all issues into the wee morning hours. Not only was it fixed, but they found a few issues of their end and corrected them as well.  This was all happening while the auction was already live so I was frantic!! But they pulled through quickly.

This year's lesson: Your base product price MUST match your buyout price (not starting bid price) otherwise your checkout amount will default to starting bid, which in my case was lower as my auction is a fundraiser.

If you have any questions or your auction doesn't look the way you want, just contact customer service and they'll walk you through it or get it done for you!"
AquaGemCorals,United States,6 months using the app,"November 18, 2024",5,a little tough to get setup but sam from support has been very helpful on getting it straight for me
Death By Stickers,United States,About 2 hours using the app,"November 16, 2024",1,"Took the time to adjust all settings and setup an auction and it just never added the auction to the listing despite activating the app on the theme. Chat was unresponsive. Waste of time.

Hello, our sincere apologies for the experience you had. We pride ourselves in the customer service we provide to our merchants. Unfortunately the time when you reached out to support team, our team member where not able to reply back promptly; and by the time we replied back you had uninstalled the app.

Kindly give us one more opportunity to help you. We promise to do our best for you."
DDTStore,Hong Kong SAR,About 1 hour using the app,"November 12, 2024",4,CS is helpful
Underwater Archives,United States,7 days using the app,"November 12, 2024",5,"Amazing app, great service. Does everything it's supposed to and more."
Enkay,United States,2 days using the app,"November 6, 2024",5,This app was very easy to install and setup and the Customer Service far exceeds anything we have experienced on the App Store. Sam in particular was super helpful in getting some very tricky code to implement.
Workplace Supplies NI,United Kingdom,5 days using the app,"November 5, 2024",5,Very helpful and knowledgeable and took the time to explain everything to me
Tiffany's Ceramics,United States,About 15 hours using the app,"November 2, 2024",5,Very Patient Customer Service ... I am not tech savvy .. I was trying out a few different auction apps and somehow got myself in a mess .. was ready to give up and tried to delete only to make a bigger mess .. Then the Help Arrived. I was frustrated and rude and did not deserve the Awesome Help they Provide! Figured out what I did wrong and showed me how to do it correctly .. 100% Recommend !!  Now I Can Easily Create Auctions !! Just What I Needed !! Thank You !!
STOXX THRIFT & VINTAGE,Canada,About 1 hour using the app,"October 30, 2024",5,"very friendly and helpful service, definitely recommend"
