shop_name,country,length_of_app_use,date,rating,review
Zenox,Hong Kong SAR,Almost 3 years using the app,"March 13, 2026",5,"Great customization and with translation support its great for my bilingual store. Kets was very helpful when i encountered an issue, it was fixed very quickly."
Portland Running Company,United States,4 months using the app,"March 11, 2026",5,"This app works well for us, and the support team is quick and responsive. Highly recommended."
Avenida Home,United Kingdom,3 months using the app,"March 6, 2026",5,"This app has been great in allowing us to display and manage different stock locations for B2B and B2C customer and if they didn't have a feature we've needed, they have developed it within a few day!

Really amazing customer support, always very quick to answer, friendly and super helpful.

Would highly recommend!"
TOPMEDIC,Chile,About 4 hours using the app,"February 2, 2026",5,Excelente ayuda y soporte.
Maison Marou,Vietnam,10 months using the app,"February 2, 2026",5,
Homcore-Athens,Greece,Over 3 years using the app,"January 28, 2026",5,"Excellent knowledge, fast results"
Mexicali Blues,United States,5 months using the app,"January 21, 2026",5,"This is a very easy to use app that provides customers visibility to stock levels by inventory locations.
You can control which locations to display, as well as what products will show the app.
we have plans to use the shop by store function, but haven't implemented that yet.  We are very happy to have that feature available in the same app.
Service/support is quick and thorough.
Definitely recommend."
Frøken Dianas Salonger,Norway,About 1 year using the app,"January 21, 2026",5,"perfect app for informing customers of availability between locations (also web/store). Possibility for ""counting down"" when low on stock. Fast chat if help needed!"
WUPRO BUY,Hong Kong SAR,Over 1 year using the app,"January 11, 2026",5,Fast service support
Steve Regan Company,United States,Almost 4 years using the app,"January 2, 2026",5,
Stopa,Serbia,8 months using the app,"December 30, 2025",5,It works perfectly for the needs that the app offers. Support responds within a few seconds. Highly recommended!
Capital Auto Parts,Canada,Over 2 years using the app,"December 22, 2025",5,"Great app, does exactly what we need. Support is quick to respond and find a solution if there are any issues"
WFHC Holdings LLC,United States,About 15 hours using the app,"December 3, 2025",5,Amazing customer service with a simple yet powerful app. Thank you!
Mattokeidas,Finland,Over 1 year using the app,"November 18, 2025",5,"We’ve been extremely impressed with Kark: Multi-Location Inventory. The app works flawlessly and solves a real problem for merchants managing several stock locations. Setup was quick, the interface is clean, and everything integrates perfectly with Shopify’s native features.

What stands out the most is how reliably the app displays accurate stock levels and incoming inventory for each location. This has improved our internal workflow and helped customers find the closest store with available products — a huge win for both UX and conversions.

Support has also been excellent: fast responses, clear instructions and real problem-solving. It’s rare to find an app that is both lightweight and genuinely useful without unnecessary complexity.

Highly recommended for any Shopify store operating with multiple warehouses or pickup points. A must-have."
Tally-Ho,Netherlands,8 months using the app,"November 12, 2025",5,"Fijne app, doet wat hij moet doen en de klantenservice reageert snel en is heel vriendelijk. Wij zouden de app aanraden."
Volkanica Outdoors,Chile,Over 2 years using the app,"November 10, 2025",5,Fast and reliable inventory sync. Very effective app with excellent support highly recommended!
Louise Jean Jewellery,Australia,4 days using the app,"November 9, 2025",5,"I’ve had a great experience using Multi-Location Inv! The app works perfectly for managing inventory across multiple locations, and the customer service is outstanding. The support team was quick to respond to any questions I had and went above and beyond to make sure everything worked just the way I needed.

A special shout-out to Tansy, who was super helpful and patient throughout the process. She even helped me code the widget so it looked exactly how I wanted on my product detail page. Really appreciate the level of service and attention to detail. Highly recommend this app!"
Keebz N Cables,Australia,About 1 hour using the app,"November 4, 2025",5,lovely support from Tansy
AV Express,United States,4 months using the app,"October 23, 2025",5,"team is great and their product works on a lot of themes but even for stores with custom themes like ours, they go out of their way to make their app work using custom code."
DuPage and Chicago South Suburbs Habitat for Humanity,United States,12 days using the app,"October 21, 2025",5,Sam was very helpful with troubleshooting!
Beauty Perfumes,Chile,About 1 year using the app,"October 18, 2025",5,The service is perfect and very efficient
Sleepcenter Beds - New Zealand,New Zealand,Over 1 year using the app,"October 9, 2025",5,
objcts.io,Japan,Almost 2 years using the app,"September 12, 2025",5,"The implementation was easy, and we never encountered critical issues.
Even if there is an issue, the support team replied very quickly to address the problem."
YALLAWORLD,United Kingdom,Over 1 year using the app,"September 10, 2025",5,"Great Dev team, Kets very responsive has always help us set up and maintain our backend. Used this app before many features on shopify infact I think shopify learned a few things from him.  Very useful app to help display and manage when using selling in multiple locations using marekts."
Lehmani,Hong Kong SAR,About 11 hours using the app,"September 1, 2025",5,So easy to install and excellent help from the founder of the app! Def recomment this to everyone.
Barnstaple Equestrian Supplies,United Kingdom,About 3 years using the app,"August 24, 2025",5,"just brilliant app that handles our inventory from multiple locations, and great support, thank you"
SoHa Living,United States,7 months using the app,"July 28, 2025",5,The support is very helpful and response quickly.
OpenELAB Technology Ltd.,Germany,2 months using the app,"July 24, 2025",5,Customer service responded very quickly and resolved my issue.
Groomsaber,Hong Kong SAR,About 1 month using the app,"July 2, 2025",5,A fantastic useful app. Exceptional customer support. Well worth the money!!
Triathlonworld,Netherlands,23 days using the app,"June 30, 2025",5,"Honestly, the app works great! But what made it even better, was the quick support from their team. Within minutes we sorted everything out and they even made custom changes for our webshop. If you're looking for an app to manage location inventory, this is the one to use!"
Jens,Iceland,Over 2 years using the app,"June 26, 2025",5,"I've been using this app for quite some time and I'm very pleased with it's functionality, how easy it was to set up and maintain, and the level of customer service from the team.

What I really like is being able to pick and choose which products this app appears on. For some of our products, it doesn't ""make sense"" to have product availability displayed (such as for products where customers can choose various items to bundle together into one product). By creating one product template where the app appears, and another where it doesn't, it's easy to manage which products should have inventory availability displayed.

I whole-heartedly recommend this for any store that wants to make information on product-availability-by-store visible to their customers."
カペルミュール公式ショップ,Japan,11 days using the app,"June 20, 2025",5,"The app has all the tools we wanted, and when we encountered a problem, the customer service team (thanks Kets!) immediately helped us with perfect advice! We highly recommend this app and Kark Ltd."
Twistbe,Finland,Over 3 years using the app,"June 16, 2025",5,"Excellent support, no complaints about the app either! Recommended!"
Bay Window,India,About 5 hours using the app,"June 3, 2025",5,"Great app to have especially when you have multiple stores. 
Works exactly as intended with great customization levels as well. 
Highly recommended."
CBC Motorsports LLC,United States,About 2 years using the app,"May 27, 2025",5,"Excellent customer service alongside an excellent app, really haven't had any problems. Definitely worth your money!"
Nicholls,United Kingdom,About 1 hour using the app,"May 23, 2025",5,"Loving the app, only downloaded today. The support I have received within minutes has been nothing short of faultless. If I could award 6 stars then I would."
DiscountPaintball.com,United States,About 18 hours using the app,"May 22, 2025",5,This app is just what I needed. I had some trouble configuring the layout but Tansy in tech support helped me get it just the way we wanted it. The app is very easy to use and the ability to change the look and feel is great. I recommend this.
The Wholesale Furniture Co.,Australia,20 days using the app,"April 28, 2025",5,
GAZZAZ,Saudi Arabia,About 2 hours using the app,"March 3, 2025",5,"Very good program, easy to use and excellent technical support"
Elite Bike,Finland,3 days using the app,"February 20, 2025",5,"I am very satisfied with this app and the customer support. They helped me with some specific challenges I had, and their assistance was excellent!"
Lotus Wheel,New Zealand,8 months using the app,"Edited February 24, 2025",5,"I have 3 warehouses. One in NZ, one in AU and one in the UK. I sell to all of those countries using 1 website. This app lets me display on my product page which warehouses I have stock and where I am sold out of stock.

Thank you for your review, Our app clearly shows a big warning that App should not be used to block purchases based on the country or market as this feature is now natively available in Shopify via Fulfillable inventory feature and you should migrate to that,  downgrading to our basic plan has removed the legacy validation rules,"
The Conran Shop,United Kingdom,2 days using the app,"February 13, 2025",5,What a brilliant widget - very easy to set up and get working in a few days. We have a custom theme and Kets has been incredibly helpful in making adaptations and tweaks to get it looking and working just as we needed. Extremely happy with the restults. Thanks!
The Pro's Closet,United States,10 months using the app,"February 12, 2025",5,"This app does a great job of communicating to customers the options they have for getting the items they want. It has a lot of powerful, flexible options, and the support team is very responsive to unique needs."
Pharmacor,Australia,5 days using the app,"January 14, 2025",5,This app is the only app I could find that has everything we need with multiple locations. Thank you so much Kets for helping to implement something so quickly and thank you to the rest of the team for always being so helpful !
Crooze Australia,Australia,14 days using the app,"January 6, 2025",5,"I came across Multi-Location Inventory Info looking for an App that could display inventory threshold notifications that are dynamic with each variant selected. This app ticked all the boxes!
Kets was super helpful developing some critical customisations we needed, getting the ball rolling even out of hours. This is an app that strives to please customers and deliver excellent functionality."
Bilmedie.dk,Denmark,About 1 month using the app,"January 6, 2025",5,"Great app, I use it on my site, highly recommended"
Healthcare Solutions,Canada,10 months using the app,"December 18, 2024",5,Kets is wonderful at responding to any concerns right away and providing great customer service!
OnSize,Hungary,About 1 hour using the app,"December 8, 2024",5,"I had some design conceptions, and Tansy and Kets were very helpful, and made the changes quickly. Great app, great service!"
Yeppo & Soonsoo,Finland,3 days using the app,"November 18, 2024",5,"This is amazing app for showing available stock in physical stores. Really intuitive to use and easy to set up. I was having an issue with a stock visibility detail, and Kets was able to point out the issue for me in just few minutes. Recommend!"
Fife Cycle Centre,United Kingdom,About 1 year using the app,"Edited October 23, 2025",5,"Very rarely do I download an apps which ticks every single one of my requirement boxes. In fact come to think of it, there has never been a time. That all changed when I downloaded multi-location inventory. This app has done everything and more than what I needed. It has transformed my shopify site.

Support is also very good.

thats me just had them help with something else which is class/"
Remlagret.se,Sweden,5 days using the app,"September 24, 2024",5,"We recently started using Multi-Location Inventory Info, and right from the start, we had numerous questions about how to set it up and design it to our liking. Their team has been incredibly responsive and helpful throughout the entire process. Whenever we encountered an issue or needed clarification, they provided prompt and detailed guidance.

What truly stood out to us was their dedication to addressing our challenges. Even when we needed custom code, they went the extra mile to ensure we achieved our desired outcome. Their support and commitment have been exceptional, and we genuinely appreciate all the effort they put in.

I highly recommend this app to anyone looking for a reliable solution with outstanding customer service."
RA Cycles,United States,4 days using the app,"September 23, 2024",5,Works absolutely perfect and the support is AMAZING! Thanks so much Kets!
WellPlayed.ch,Switzerland,2 months using the app,"August 2, 2024",5,This app makes exactly what we've been looking for. It displays the overall stock level available for shipping and the stock levels per location. Can be translated in all languages. Excellent support who answers immediately! 5+ stars!
Eanbe,Japan,19 days using the app,"July 6, 2024",5,Great app. Increased store visits.
J.Lindeberg,Sweden,1 day using the app,"June 20, 2024",5,Really good app and very quick support! Highly recommended!
Foehn,Canada,About 1 year using the app,"May 3, 2024",5,"Great app and support, I used to have 2 different websites (USA & Canada) to control inventory and duties. With this app I was able to consolidate to 1 website. Highly recommend."
Peachy Den,United Kingdom,5 days using the app,"April 16, 2024",5,"Amazing experience with this app! Really helped us do what we need to do (show in store stock availability on our site), and the developers helped me customise the app urgently ahead of our store opening. Would definitely recommend this!"
CXP,United Kingdom,2 months using the app,"April 3, 2024",5,This app solved our ongoing fulfilment issues for which we had been searching for a solution for 12+ months. Support are also very helpful and made sure the changes to our CTA buttons worked smoothly with our theme. Thank you so much!
Rare Porsche Parts,United Kingdom,3 months using the app,"March 28, 2024",5,"Kets was extremely helpful even sorting out problems which were rather shopify related than anything to do with the app and it happened during the weekend. 
Thank you so much"
Lumiere & Co.,United States,4 days using the app,"March 26, 2024",5,"Multi‑Location Inventory Info is a must-have for Shopify businesses. Customer Service: 5/5 Stars. The support team behind Multi-Location Inventory Info is exceptional. Prompt, knowledgeable, and responsive, they go above and beyond to assist users. Their proactive approach to feedback ensures continuous improvement and user satisfaction."
SUBIE SUPPLY CO.,Canada,Almost 2 years using the app,"March 11, 2024",5,Great App! Exactly what I was looking for.  Makes our inventory status very clear to the customer. Thanks!
TAWBURY,Australia,3 days using the app,"March 9, 2024",5,Great first impressions with the app and support. The app solved a common problem for merchants selling from multiple locations. There was one aspect of the app I had difficulty setting up but support were quick to help.
Special Event Sales,Canada,21 days using the app,"February 2, 2024",5,These guys got  me setup quickly and happily. Despite me having some specific needs and changes. They were done professionally and quickly. I highly recommend this app. It does exactly what it is supposed to do and so much more. Thank you for all of your help. It was great to work with you.
FERRETERÍAS GRUPO NOSARA,Costa Rica,7 months using the app,"January 18, 2024",5,"Me parece una app muy facil de usar y muy buena para solucionar aparte de ser economica. se las recomienda cero problemas

Thanks for your review, appreciate it"
MiU Life,Canada,1 day using the app,"January 3, 2024",5,The app is really useful. It enhances my store dramatically. And the support team spent days with me to fulfill my request. Strongly recommended!!!
Last Mile SF & Marin,United States,11 days using the app,"November 28, 2023",5,"I am not a review writing bot, friend or family member of the app creator.

Just a guy trying to get a shopify website to do what I want. Grab a beer and have a long read on our experience with this app.

This app was a necessary addition to our online as well as our brick and mortar stores. We wanted the ability to have our customers purchase online and pickup up the items from a brick and mortar store. Problem is we have 2 different locations. Both locations share the same online store. We didn't want people showing up to the wrong store or be confused as to where they were picking something up.

Our mission was to have the ability to show a products' inventory stock and its' store location on a product page. This included variants of a product and their locations. This would enable an online customer to be able to know which store or stores had the specific item. When customer checks out they are only offered the available location or locations for pick up. They can choose the location or option for shipping.  We already are seeing it work with customers buying and picking up without confusion.

Works so good and not a headache to trouble shoot. Support is there for you.
No matter what app you install, most likely you will need support. Any minor issues I had were promptly addressed by the awesome customer service and hands on support.

Hope this helps someone out and much appreciation to the creators and support team of this app. Saves us a lot of time, money and customer employee headaches. Definitely worth the subscription."
Srishti,Australia,2 months using the app,"November 13, 2023",3,"Hi ,

I uninstalled the app on the 8th and I've been charged on the 13th nov. Not sure how to reach you for refund !

Sorry, we only receive notification of the review after 24 hours, it is best to reach out to our Support Email and we reply mostly within a few minutes if you have emailed during UK business hours, contact us via email and we can help you, Billing is handled by Shopify directly, but will be happy to help you with the refund, We have super quick support, only issue is someone has to actually reach out to us first :) instead of a Review!"
SnapWireless,Australia,7 days using the app,"August 22, 2023",5,The app works as described. The developer is available to help out with any issue instantly. Recommend for any store trying to restrict inventory locations by customer location.
Highside Shop,Australia,About 1 month using the app,"June 28, 2023",5,By far the best support I have received of any Shopify app. The app works seamlessly also. Highly recommend.
POSHHAUS,United States,1 day using the app,"May 3, 2023",5,"Great app, Kets was very hepful with any problems I had. Worth it! Very quick to respond aswell. Highly Recommend"
Specialized,South Africa,4 months using the app,"April 12, 2023",5,"This APP is doing everything it says it can,  Super happy with the support levels, and they are very quick to respond and offer a solution.  Would recommend this to anyone looking for a solution like this."
ASI B2B,United States,About 2 months using the app,"April 3, 2023",5,"We use this on our B2B. Great inventory location finder, awesome to hide inventory from customers not in an area. Everything works off tags. Contacted customer support to enable another feature and they were super responsive and we had it up and running in one day! Super happy with the app!"
DTF Station,United States,About 2 months using the app,"March 24, 2023",5,Great app for displaying different inventory info across multiple locations. Pretty customizable. Their support team responded quickly and was very helpful.
Rockay,United Kingdom,3 months using the app,"February 21, 2023",5,Useful app for our multi-location store. The access to variant stock quantity by location allows us to accurately provide estimated delivery times.
Struck - schreiben-lesen-spielen,Germany,3 months using the app,"February 2, 2023",5,"Super Support 
- individuelle Anfragen wurden -wiederholt! - super umgesetzt!
- Darstellung ist nun sehr gut und hilft uns und unseren Kunden."
Panikeke,New Zealand,6 days using the app,"January 31, 2023",5,Great app and the service was amazing by kets - The app did not automatically sync to my website but with the help of kets and the team they were able to bring the app to life - thanks so much :)
Black Lava Vape,United States,About 13 hours using the app,"January 28, 2023",2,"I really wanted this app to work, as the other app that does this has really bad support. This app does do what it says, but the layout is so clunky looking. It just depreciates the look of the product page. It also stretches out the add to cart button making it 7"" long.

Hello thanks for your feedback, if you could have reached out to us, we could have sorted the layout issue within minutes, There are 100s of themes in Shopify ecosystems including custom themes so on rare occasions it could happen that app does not fit very well in a particular theme, you just had to reach out to us and get it sorted, anyways happy to sort it out if you want to get back to us,"
Lounge,Chile,About 1 month using the app,"January 16, 2023",5,"Very useful and grate support service! It works with the same layout from my theme, doesn't look like I have an app installed. Asked for help with the widget and got an answer in a couple of minutes."
vancasso,Hong Kong SAR,14 days using the app,"Edited January 12, 2023",5,"Very fast and patient customer service, if you encounter problems with the app, you can contact them to solve it. 
Ideal for stores with multiple locations."
MEEDEN ART,Hong Kong SAR,1 day using the app,"Edited February 1, 2023",5,"Good product that solved our problems. Had some troubles at the beginning but had been solved now. And the service is also very good!

Hello, this is our first 1-star review in 2 years, if you can first reach out to support then we will sort out any issue straight away, There could be a conflict with the theme or another app, looking at your site, our app clearly shows in the developer console that it cannot find ""Add to cart"" button and points to troubleshooting page, I wish you can first reach out to support, we sort out most of the issues within hours mostly, anyways reach out to our support we can still help you -:)"
MALACASA,Hong Kong SAR,2 months using the app,"January 8, 2023",5,I have 3 locations and I need a useful inventory app. This one works perfectly and it provides very responsive customer service.
GL Extra,Brunei,4 months using the app,"December 20, 2022",5,Great app. Has everything you need to customise the location info to your liking. Not like other multi location app that is more expensive and charges you premium for a custom feature that is already included in this app. Recommend this app to anyone looking for multi location feature and not to look further.
Fenrir Canine Leaders,United Kingdom,4 months using the app,"December 20, 2022",5,"Really fantastic app for merchants using shopify multi store feature for multi locations and local-pickup. Whenever reach support team, they always promptly (really fast in 1 minute) reply and solve issues suggested professionally. This is really useful and helpful app for the shopify's multi store feature which was recently added. Recommend everyone love to use this app for their multi store with huge traffic and conversion ratio."
RedOne Music Canada,Canada,6 days using the app,"December 3, 2022",5,Customer service is very good! Guys answered me within minutes and I got a lot of help for what I wanted to achieve! Would recommend 100%
Just Tall,United Kingdom,11 months using the app,"November 27, 2022",5,Wow. Super fast support and a very reasonable price. Can't fault it at all. Also basic customization options available.
zooxae.com,United States,3 days using the app,"November 24, 2022",5,"The app is great and just what we wanted. It displays the the inventory count at all locations that our stores are in. The setup was very easy; since we used our own custom theme, we had to get help from the app developer to see it on the front-end. The developer was prompt in their response and clarified any questions we had. They even customized the app to better suit our website. Definitely a 5-star experience!"
L'Arbre à Café,France,8 days using the app,"November 17, 2022",5,"Great plugin with a lot a customization possibilities  It helped us bring more clarity to our products pages between what's available ""on-site"" in our shops and what's available exclusively in delivery The deployment is easy and straightforward, meanwhile I think the pricing is quite accessible for the added value of the feature Great job with the support also, that was quick and precise !"
Oro Vintage Jewellery,Netherlands,About 1 month using the app,"October 6, 2022",5,"We at Oro Vintage Jewellery are very happy with Multi-Location Inventory Info as it is the only App builder who could and wanted to customise its App to make it work the way we needed it to. Also, the support is quick, relaiable and very competent."
Connon Nurseries Inc.,Canada,7 months using the app,"October 5, 2022",5,"Easy to use and setup, and integrates well with different themes and there appearance. Very helpful and prompt support."
Little Green Radicals Wholesale,United Kingdom,2 days using the app,"July 27, 2022",5,Such a great app! We wanted the app to show the correct inventory to different countries and this does this perfectly. Works great with Shopify Markets. Support is quick to respond and solve any problems.
Drumland Canada,Canada,2 days using the app,"May 12, 2022",5,"Great app and support! Now we can show our customers (and staff) where our inventory is located. Kets' technical answers and support were very prompt and polite!
Bravo!"
PRFO Sports,Canada,5 months using the app,"April 27, 2022",5,"The app works great and as expected. The support team is amazing and is very quick to solve any issues or requests you may have,"
Standard & Strange,United States,5 months using the app,"March 14, 2022",5,App does what it says on the tin - had a question requiring customer support and they were VERY RESPONSIVE and helpful - even answered my emails outside their stated available hours! Highly recommend.
MIMOSA Handcrafted,United States,9 days using the app,"March 3, 2022",5,Great app with excellent support! It does exactly what we were looking for and we always get quick responses when asking for help.
Ardens Music,Canada,About 1 year using the app,"February 8, 2022",5,This app did EXACTLY what we needed. The developer was very easy to work with and accommodating. The app easily shows customers which location to find products in.
Yop & Tom,United Kingdom,15 days using the app,"February 7, 2022",5,"We used this app to enable proper inventory management when using the same SKU for different regions. Our European orders are fulfilled from one UK warehouse and our USA orders are fulfilled from a US warehouse, but Shopify itself doesn't have an option to disable the add to cart button when a product is oos in one region, but not in the other. This often happens for us though and it was a problem because we had to revert to putting listings in draft mode, which is very inefficient for a whole host of reasons. Kets from Kark Ltd helped out amazingly. Some custom coding had to be done AND a new feature had to be implemented in the app to also switch the Add To Cart button to ""Out of Stock"" and they completed it all in a matter of days. Amazing support and super helpful app if you're looking to manage inventory from multiple locations. Would give 10/5 stars if I could."
Seldens Designer Home Furnishings,United States,About 4 years using the app,"Edited January 2, 2026",5,Great customer service and very fast support! The app is crucial to displaying inventory across multiple retail locations and our warehouse. Great and very useful App does exactly what we need for our online store. Thank you
CaravanMods.com.au,Australia,About 1 month using the app,"September 2, 2021",5,Great Service Fast Support when Needed! App does exactly what we need. Thanks team keep up the great work
Bikefit Marlborough,New Zealand,10 days using the app,"August 24, 2021",5,"This App further enhances our store giving multi location stock, easy to setup and great support, thanks guys"
Critter Country Supply Ltd.,Canada,4 days using the app,"June 30, 2021",5,"Highly recommend for any Shopify merchant looking to display their current stock levels for multiple locations. Love how there's a bunch of options to customize the look and functionality of the app. Support is top notch, knowledgeable and very fast to respond!"
Meat N' Bone,United States,4 days using the app,"Edited May 21, 2021",5,"Works perfectly. A simple, but fantastic solution :) Developer/customer service response time is AMAZING! Backend is very simple to use."
JuicyBumbles,United Kingdom,2 days using the app,"May 6, 2021",5,"Very pleased with the App, it has transformed our level of service to customers by eliminating our stock issues (post Brexit issues)
The service and responsiveness of the team is amazing! I wrote to them before installing the app to make sure it would do what we required and they tailored it so it would! They even helped with installing it! I would recommend 100%."
La Griffunrie,Canada,5 days using the app,"March 23, 2021",5,I installed this app a week ago and I'm pleased with the result. I contacted the support for a feature and they responded to my email right away. Would certainly recommand. Great app!
REAWAKE,Switzerland,11 days using the app,"Edited January 11, 2021",5,Easy to understand app that does exactly what it should. Great customizability and a very dedicated support! . Highly recommended.
Alberta Cycle Motorsports,Canada,1 day using the app,"December 24, 2020",5,"If you know a bit of CSS this app is super customizable and was able to be styled perfectly for our website. From my experience, support is also very responsive. P.S. At the time of writing this review (December 2020) the app is very new so more features and documentation are still being added."
